customer_id,customer_name,city,customer_tier,is_active,created_at,updated_at
1,Urvashi Setty,Bangalore,GOLD,True,2026-06-25 06:30:47.773866,2026-06-25 06:30:47.773866
2,Mohini Hora,Gurgaon,GOLD,True,2026-06-25 06:30:47.773928,2026-06-25 06:30:47.773928
3,Abhiram Peri,Delhi,GOLD,True,2026-06-25 06:30:47.773954,2026-06-25 06:30:47.773954
4,Yamini Jhaveri,Delhi,SILVER,True,2026-06-25 06:30:47.773981,2026-06-25 06:30:47.773981
5,Wishi Palan,Delhi,SILVER,True,2026-06-25 06:30:47.774000,2026-06-25 06:30:47.774000
6,Ishanvi Subramanian,Bangalore,BRONZE,True,2026-06-25 06:30:47.774018,2026-06-25 06:30:47.774018
7,Sai Chacko,Bangalore,SILVER,True,2026-06-25 06:30:47.774036,2026-06-25 06:30:47.774036
8,Akshay Chada,Pune,SILVER,True,2026-06-25 06:30:47.774055,2026-06-25 06:30:47.774055
9,Bahadurjit Bhasin,Bangalore,SILVER,True,2026-06-25 06:30:47.774074,2026-06-25 06:30:47.774074
10,Pooja Bhasin,Gurgaon,BRONZE,True,2026-06-25 06:30:47.774086,2026-06-25 06:30:47.774086
11,Jagvi Rattan,Mumbai,SILVER,True,2026-06-25 06:30:47.774097,2026-06-25 06:30:47.774097
12,Irya Suresh,Noida,SILVER,True,2026-06-25 06:30:47.774109,2026-06-25 06:30:47.774109
13,Kiaan Khosla,Delhi,SILVER,True,2026-06-25 06:30:47.774120,2026-06-25 06:30:47.774120
14,Kashvi Kata,Bangalore,GOLD,True,2026-06-25 06:30:47.774131,2026-06-25 06:30:47.774131
15,Gaurika Pandey,Gurgaon,SILVER,True,2026-06-25 06:30:47.774142,2026-06-25 06:30:47.774142
16,Pratyush Pathak,Gurgaon,SILVER,True,2026-06-25 06:30:47.774153,2026-06-25 06:30:47.774153
17,Bahadurjit Kohli,Gurgaon,BRONZE,True,2026-06-25 06:30:47.774164,2026-06-25 06:30:47.774164
18,Idika Jani,Delhi,SILVER,True,2026-06-25 06:30:47.774188,2026-06-25 06:30:47.774188
19,Hemang Mannan,Mumbai,BRONZE,True,2026-06-25 06:30:47.774199,2026-06-25 06:30:47.774199
20,Daksha Zachariah,Gurgaon,BRONZE,True,2026-06-25 06:30:47.774210,2026-06-25 06:30:47.774210
21,Owen Dixit,Noida,GOLD,True,2026-06-25 06:30:47.774222,2026-06-25 06:30:47.774222
22,Anika Sandal,Gurgaon,SILVER,True,2026-06-25 06:30:47.774233,2026-06-25 06:30:47.774233
23,Shivansh Narula,Gurgaon,SILVER,True,2026-06-25 06:30:47.774243,2026-06-25 06:30:47.774243
24,Reva Toor,Mumbai,GOLD,True,2026-06-25 06:30:47.774254,2026-06-25 06:30:47.774254
25,Ucchal Chawla,Delhi,GOLD,True,2026-06-25 06:30:47.774265,2026-06-25 06:30:47.774265
26,Anika Bawa,Delhi,BRONZE,True,2026-06-25 06:30:47.774281,2026-06-25 06:30:47.774281
27,Vasatika Sagar,Mumbai,BRONZE,True,2026-06-25 06:30:47.774292,2026-06-25 06:30:47.774292
28,Zehaan Mahal,Mumbai,GOLD,True,2026-06-25 06:30:47.774303,2026-06-25 06:30:47.774303
29,Henry Dave,Mumbai,SILVER,True,2026-06-25 06:30:47.774315,2026-06-25 06:30:47.774315
30,Udant Sarin,Mumbai,GOLD,True,2026-06-25 06:30:47.774327,2026-06-25 06:30:47.774327
31,Wriddhish Koshy,Noida,SILVER,True,2026-06-25 06:30:47.774337,2026-06-25 06:30:47.774337
32,Noah Sachar,Bangalore,BRONZE,True,2026-06-25 06:30:47.774348,2026-06-25 06:30:47.774348
33,Tristan Keer,Gurgaon,GOLD,True,2026-06-25 06:30:47.774359,2026-06-25 06:30:47.774359
34,Fariq Ahluwalia,Bangalore,BRONZE,True,2026-06-25 06:30:47.774370,2026-06-25 06:30:47.774370
35,Ucchal Buch,Gurgaon,SILVER,True,2026-06-25 06:30:47.774381,2026-06-25 06:30:47.774381
36,Mugdha Barad,Gurgaon,SILVER,True,2026-06-25 06:30:47.774392,2026-06-25 06:30:47.774392
37,Ishani Bhatti,Gurgaon,GOLD,True,2026-06-25 06:30:47.774406,2026-06-25 06:30:47.774406
38,Qabil Saini,Bangalore,BRONZE,True,2026-06-25 06:30:47.774417,2026-06-25 06:30:47.774417
39,Bhanumati Tak,Pune,GOLD,True,2026-06-25 06:30:47.774428,2026-06-25 06:30:47.774428
40,Kavya Sarin,Bangalore,BRONZE,True,2026-06-25 06:30:47.774439,2026-06-25 06:30:47.774439
41,Oscar Palla,Gurgaon,BRONZE,True,2026-06-25 06:30:47.774451,2026-06-25 06:30:47.774451
42,William Hegde,Noida,BRONZE,True,2026-06-25 06:30:47.774462,2026-06-25 06:30:47.774462
43,Idika Acharya,Delhi,BRONZE,True,2026-06-25 06:30:47.774473,2026-06-25 06:30:47.774473
44,Lavanya Pall,Noida,SILVER,True,2026-06-25 06:30:47.774483,2026-06-25 06:30:47.774483
45,Tejas Bala,Noida,BRONZE,True,2026-06-25 06:30:47.774494,2026-06-25 06:30:47.774494
46,Damyanti Natt,Pune,GOLD,True,2026-06-25 06:30:47.774505,2026-06-25 06:30:47.774505
47,Kalpit Seth,Noida,SILVER,True,2026-06-25 06:30:47.774516,2026-06-25 06:30:47.774516
48,Dalbir Bedi,Pune,GOLD,True,2026-06-25 06:30:47.774527,2026-06-25 06:30:47.774527
49,Zarna Kaul,Gurgaon,GOLD,True,2026-06-25 06:30:47.774537,2026-06-25 06:30:47.774537
